	RAW_shC_LPS_5hr_S2_L008_R1_001	RAW_sh2_GIV_LPS_5hr_S6_L008_R1_001	RAW_sh1_GIV_LPS_5hr_S4_L008_R1_001
ENSMUSG00000000805.18	25.8840561535839	29.4797528181399	41.5015641592662
ENSMUSG00000000811.13	41.6259014317721	57.7562257209443	54.1125685416863
ENSMUSG00000000817.10	0	0	0
ENSMUSG00000000823.16	661.749061882937	540.743250325493	467.257245710935
ENSMUSG00000000826.16	5346.27555106237	4804.5785831962	5622.78848375916
ENSMUSG00000000827.18	2254.70030168053	2046.66585972917	2335.61295283145
ENSMUSG00000000838.17	5636.440046188	5023.36100839666	6291.62205587057
ENSMUSG00000000861.15	0	0	0
ENSMUSG00000000869.12	0	0	0
ENSMUSG00000000876.11	128.107537096781	92.1946225557861	141.278687525851
ENSMUSG00000000881.12	225.931813136752	184.967661884227	235.83702600419
ENSMUSG00000000884.17	106.213622460171	127.890063326141	73.4337794910304
ENSMUSG00000000889.8	0	0	0
ENSMUSG00000000901.17	0	0	0
ENSMUSG00000000902.13	3263.81218174151	2354.58237771669	2723.57236229531
ENSMUSG00000000903.3	0	0	0
ENSMUSG00000000915.15	58.8812593270228	109.028289687154	106.780775447995
ENSMUSG00000000916.15	626.119933861369	765.857204160586	631.290212950597
ENSMUSG00000000934.9	556.398273357858	660.141345466651	586.353121867182
ENSMUSG00000000938.11	0	0	0
ENSMUSG00000000942.10	30.924298090804	22.1478094835743	13.1054583312335
ENSMUSG00000000948.16	29.8184122782597	31.7044653458825	42.4465664953122
ENSMUSG00000000957.11	1053.73139977976	1126.4198399507	845.59076612959
ENSMUSG00000000958.10	972.967436843831	1261.37793249202	851.664382038479
ENSMUSG00000000959.7	2269.03276768993	2042.9675723747	1944.87029701538
ENSMUSG00000000976.13	2315.36870309947	2258.71066272579	2111.8968116276
ENSMUSG00000000982.5	135686.268639677	157756.133368355	207116.145445985
ENSMUSG00000000983.13	28.0818548282467	19.0492882962857	13.560415811812
ENSMUSG00000001014.6	23.5958287698657	12.8452757969442	12.8672558893637
ENSMUSG00000001016.12	6561.08421294453	6995.39196950617	5993.3395348928
ENSMUSG00000001017.15	10360.8779071707	8520.92973921654	10643.2631565418
ENSMUSG00000001018.15	848.643941417568	710.801442044052	909.081032744752
ENSMUSG00000001020.8	43150.7280252849	40577.5198414183	42358.9141234132
ENSMUSG00000001021.13	10.8637823340263	8.17499451710303	11.1472224800763
ENSMUSG00000001023.10	0.931325978584393	5.79578222358512	0
ENSMUSG00000001025.8	14544.2481674572	11610.425603102	13625.5426586192
ENSMUSG00000001027.7	0	0.965963703930853	0
ENSMUSG00000001029.15	88.5051562615302	104.392345690671	78.298904029919
ENSMUSG00000001034.17	932.202389661313	1183.05387698999	1125.96822920518
ENSMUSG00000001036.17	547.635438856474	616.272483101142	1286.86597400888
ENSMUSG00000001039.12	88.3116500873945	152.058399560272	111.352858670268
ENSMUSG00000001052.15	5560.74528755513	5525.68112308656	5910.3245487762
ENSMUSG00000001053.15	9.25138850797527	23.542762442845	5.50955986457427
ENSMUSG00000001054.9	311.154671901856	246.979576082034	277.362605788231
ENSMUSG00000001056.3	4877.78112189869	4469.91255113605	4386.38239875334
ENSMUSG00000001062.18	820.578816726523	909.322942718384	793.804355044469
ENSMUSG00000001065.15	1736.62038070508	1235.05567015126	1277.63502819835
ENSMUSG00000001076.7	0	0	0
ENSMUSG00000001082.12	2599.14812912842	2904.33844094016	1790.66693529311
ENSMUSG00000001089.14	4234.22801673777	5193.72057578852	5187.81305771213
ENSMUSG00000001095.5	0	1.93192740786171	0
ENSMUSG00000001098.15	5614.81216565868	4844.6393469824	5408.10562326758
ENSMUSG00000001100.10	1813.89991350451	1856.35299337608	1652.09823528465
ENSMUSG00000001103.7	0	0	0
ENSMUSG00000001105.15	1013.51302459411	949.080075125611	957.050319137569
ENSMUSG00000001119.7	11.1719304733928	7.72831683947902	4.44752175851367
ENSMUSG00000001120.15	3.73688887853763	10.5567113416542	2.23071373788421
ENSMUSG00000001123.15	26990.8339239731	23337.7107389561	26525.2951154262
ENSMUSG00000001127.12	3703.06562937191	3670.4254067254	3459.0254742853
ENSMUSG00000001128.7	13685.5547920953	13310.6780981855	12546.9971493185
ENSMUSG00000001131.11	6728.12181664768	4527.10162457036	5429.71389677383
ENSMUSG00000001134.9	722.289334518214	689.293986788602	626.135067322994
ENSMUSG00000001138.13	443.120680036018	420.973874267712	304.051689364845
ENSMUSG00000001143.13	1739.08700817469	1317.52720855899	1564.83772652263
ENSMUSG00000001150.7	2904.52422378905	2303.83611134404	2192.37228541679
ENSMUSG00000001151.10	1171.37326564799	1524.874217353	1549.69349957358
ENSMUSG00000001155.13	0	0.965963703930853	0
ENSMUSG00000001156.9	17940.1940804942	9890.47826032433	15469.1322801449
ENSMUSG00000001157.13	901.756213954077	931.368841292746	961.264022371032
ENSMUSG00000001158.13	2303.18717610895	2509.60327622942	2538.10798844655
ENSMUSG00000001166.17	712.119107631425	472.158555698108	534.695258467274
ENSMUSG00000001168.16	0.931325978584393	0	0
ENSMUSG00000001173.15	1971.90343340865	2023.48432145785	1772.40663943591
ENSMUSG00000001175.15	29489.2834036391	25192.4376522217	29521.7363820875
ENSMUSG00000001211.15	3013.11158426151	2815.40683715545	2813.44476179632
ENSMUSG00000001225.12	0	6.75568418839096	2.22513814646739
ENSMUSG00000001227.12	1101.13261608861	1037.69654565014	746.274422057472
ENSMUSG00000001228.14	2417.03496291946	3713.42153213083	3009.43604840863
ENSMUSG00000001229.9	3758.44351274482	3742.8749776295	3606.80123408257
ENSMUSG00000001240.13	66.5346615712895	34.3006352668551	40.8556523331832
ENSMUSG00000001247.16	5.92733727647237	7.22118771833033	6.72859227770293
ENSMUSG00000001248.15	6770.83955915371	6081.80393790094	6855.8437335268
ENSMUSG00000001249.14	3.00714396270044	7.73795593525952	3.43802883574308
ENSMUSG00000001260.10	0	0	0
ENSMUSG00000001270.9	2979.00615348989	2512.8576632246	2596.9786678222
ENSMUSG00000001280.13	3843.64911960948	5605.11108059599	5036.85286346923
ENSMUSG00000001281.10	554.904602123774	449.696993495761	707.603062632611
ENSMUSG00000001285.12	1026.09728110917	908.680815471136	741.337257967993
ENSMUSG00000001288.15	170.867232986889	183.339188895593	129.528268010393
ENSMUSG00000001289.12	3646.61033639617	4094.40343718851	3963.18912747392
ENSMUSG00000001300.16	3.10328027860594	5.29389384878835	14.6088157435185
ENSMUSG00000001305.5	2861.53040251656	3040.43435202141	3163.93600051026
ENSMUSG00000001313.12	200.105312978846	140.163082641764	135.291080147486
ENSMUSG00000001323.17	151.450574610059	364.239601307071	374.32820058065
ENSMUSG00000001333.9	0	0	0
ENSMUSG00000001334.9	0	0	0
ENSMUSG00000001348.15	450.360780534586	196.538726158274	549.060155560951
ENSMUSG00000001349.5	0	0	0
ENSMUSG00000001366.14	618.662607795247	622.566620399844	601.195545294869
ENSMUSG00000001376.17	2762.36340918639	2942.18937473367	2944.03597538737
ENSMUSG00000001380.7	6540.60091191745	6773.18485730745	6763.05363765998
ENSMUSG00000001383.9	4831.22251790031	4607.93159894275	4795.65889280831
ENSMUSG00000001403.13	3560.61964732909	3313.87731148561	3176.14150607288
ENSMUSG00000001415.10	6982.79954762036	6248.55352825816	5461.16852170861
ENSMUSG00000001416.13	60253.2559260945	56210.3806162774	62188.8903260179
ENSMUSG00000001418.13	6177.10411178814	4818.47471955977	4661.96833605002
ENSMUSG00000001419.17	2985.02547353709	3270.18854618512	3025.46549070571
ENSMUSG00000001420.13	52.3186446943958	41.2213554775398	35.7814957309748
ENSMUSG00000001424.14	5431.55873181053	9550.24220603332	11343.3464923147
ENSMUSG00000001435.15	690.273909270407	266.664329619353	170.204958609627
ENSMUSG00000001436.15	2180.80355577705	2737.5617587904	2224.91647413789
ENSMUSG00000001440.5	25240.2792716593	30345.6998428837	26861.4543534954
ENSMUSG00000001441.13	6355.97058131173	5792.75501235524	6724.91285033284
ENSMUSG00000001444.2	0	1.0038208694302	1.06965090306886
ENSMUSG00000001445.10	2428.95139678696	2199.95081109233	2278.84473011355
ENSMUSG00000001467.5	4064.22330887103	3351.96791607116	3707.85921395298
ENSMUSG00000001472.17	7332.4411071987	12966.7972797574	8368.20028424836
ENSMUSG00000001473.7	7533.03765945434	5788.95033128067	6485.37236879434
ENSMUSG00000001482.15	933.278245178768	998.241717130825	1014.13655967028
ENSMUSG00000001493.9	0	0	0
ENSMUSG00000001494.6	0	0	0
ENSMUSG00000001496.15	29.2113226169975	10.6828757741765	13.7473152763668
ENSMUSG00000001497.18	7.44889360438704	3.86474401002831	0
ENSMUSG00000001504.10	602.645826857633	627.065574413445	971.300005224104
ENSMUSG00000001506.10	0	0	2.22314336477853
ENSMUSG00000001507.16	0	0.627552246866814	3.42198726836289
ENSMUSG00000001508.15	0	0	0
ENSMUSG00000001510.8	0	0	0
ENSMUSG00000001517.14	1716.48822662096	1738.36202755403	1173.86446969798
ENSMUSG00000001518.12	846.113235275175	728.858494032458	467.753180125063
ENSMUSG00000001520.12	7.4793189275557	3.84494368875815	2.22550173806493
ENSMUSG00000001521.12	1711.61784800683	1217.26172624994	1795.7076891452
ENSMUSG00000001524.14	1178.27177740985	1257.74140235311	1243.85846194557
ENSMUSG00000001525.10	28389.8187660473	29475.3020168025	24850.4653556067
ENSMUSG00000001542.7	15508.8793432324	15728.7468476574	18904.0526285917
ENSMUSG00000001552.14	1.49791143200049	2.62368385291491	8.90574809261333
ENSMUSG00000001555.10	0	0	0
ENSMUSG00000001558.5	1.86936209290421	2.88165918832725	2.22764097898204
ENSMUSG00000001566.9	0	0	1.11157168238926
ENSMUSG00000001569.10	2241.20497188482	2378.99415052232	2835.25276124112
ENSMUSG00000001576.15	4064.46722020366	4182.04509803713	3666.58621072909
ENSMUSG00000001583.13	0	4.34699417927603	0.4940139577938
ENSMUSG00000001588.12	48.4281755781038	86.587038679627	64.4149170869764
ENSMUSG00000001604.14	0	0	0
ENSMUSG00000001622.15	22.607454744118	1.90467452583	20.0650986370535
ENSMUSG00000001627.12	7645.69006745841	6978.29263979983	6918.19286318342
ENSMUSG00000001630.13	1398.68166187164	1234.46569120941	1735.39649267998
ENSMUSG00000001632.16	5108.26721830957	4884.46524239378	4795.68885713588
ENSMUSG00000001642.18	11411.3771191692	9107.3899838259	11806.2338645626
ENSMUSG00000001655.6	0	0	0
ENSMUSG00000001656.3	0	0	0
ENSMUSG00000001657.7	0	0	0
ENSMUSG00000001661.5	0	1.76060661706065	4.87894519582346
ENSMUSG00000001663.10	48.5477237922066	41.210617166022	33.5285724653237
ENSMUSG00000001665.11	106.264007121271	143.888554258224	141.530891005319
ENSMUSG00000001666.8	771.581680850801	827.979453868824	851.427929384231
ENSMUSG00000001670.13	0	0	0
ENSMUSG00000001672.14	0	0	0
ENSMUSG00000001674.11	7201.63072939624	8148.87168232795	7942.68892012016
ENSMUSG00000001687.15	2589.97738191011	2416.24107942196	2948.11275244544
ENSMUSG00000001700.10	0	0	2.22314336477853
ENSMUSG00000001707.8	4581.64834485382	4871.76403030934	5158.03152307167
ENSMUSG00000001729.14	9906.85723537711	10073.8134802565	8896.29588448477
ENSMUSG00000001739.14	11.7057850291261	12.6341835041901	9.12821884944988
ENSMUSG00000001741.12	424.478073612785	592.644814986203	496.346178165915
ENSMUSG00000001750.16	42239.1909556181	29518.4516786018	29410.8839631161
ENSMUSG00000001751.9	930.6750044368	966.023009521698	791.565290383316
ENSMUSG00000001755.12	1093.09288095314	1024.94391366876	852.979769176867
ENSMUSG00000001761.7	6.39387149825597	3.99592465886141	6.57548947221581
ENSMUSG00000001763.14	6.43655220636254	10.6637755121804	8.15875208890192
ENSMUSG00000001767.5	1998.56281722348	1863.91572797334	2128.78796065004
ENSMUSG00000001768.16	6765.31070792234	5091.78414324167	4281.53440581098
ENSMUSG00000001773.14	0	0	0
ENSMUSG00000001774.8	14396.1240682461	17590.0730182828	18465.368111604
ENSMUSG00000001783.3	5954.00868591896	5967.9346850841	5345.19803154534
ENSMUSG00000001785.13	2765.16873718887	3206.87340438743	2790.97485903345
ENSMUSG00000001786.14	957.528448955384	937.31285350588	1122.74224429117
ENSMUSG00000001794.13	6762.73821693833	6143.56278638762	6912.86690328045
ENSMUSG00000001802.16	0	0	0
ENSMUSG00000001804.9	0	0	0
ENSMUSG00000001815.15	0	0	0
ENSMUSG00000001819.4	0	0	0
ENSMUSG00000001823.5	0	0	0
ENSMUSG00000001827.12	10.8279529783064	9.24183935278299	8.63393880702775
ENSMUSG00000001829.17	3364.48360127912	2684.96455364179	2426.36162503892
ENSMUSG00000001833.17	12723.7301532021	12953.7060311176	15104.3889069882
ENSMUSG00000001844.10	607.899884977493	473.270447262303	501.300359426597
ENSMUSG00000001847.14	9900.09347469736	10210.3842420222	9548.77188131848
ENSMUSG00000001855.15	2130.37336702463	3375.15483736351	3694.76635763907
ENSMUSG00000001864.13	0	0	0
ENSMUSG00000001865.2	0	0	0
ENSMUSG00000001870.16	35.2078141544254	60.1668318415627	39.8235859753846
ENSMUSG00000001891.16	2449.45117858276	2530.92925607777	2514.39009173562
ENSMUSG00000001901.15	0	0	0
ENSMUSG00000001909.16	3219.21796430934	3096.11592178551	2541.86155098702
ENSMUSG00000001910.5	5615.3358152833	5657.23786014805	5981.99424529748
ENSMUSG00000001911.16	828.466604873545	605.818860946245	671.664342025909
ENSMUSG00000001918.17	15502.1586145697	15684.8924308771	14870.675630037
ENSMUSG00000001924.15	34363.5718599244	31571.5009887176	32039.8474550895
ENSMUSG00000001930.17	45.7522421000698	43.4317585742475	34.7269832578739
ENSMUSG00000001942.8	491.703618046959	458.140075613675	429.962502260901
ENSMUSG00000001943.8	0.953400190413101	0	2.17167060648335
ENSMUSG00000001946.14	5.24024667110215	3.44276511094737	3.10405139250753
ENSMUSG00000001948.10	30.9737164538773	17.3121291948359	32.1248153537162
ENSMUSG00000001962.8	1287.00926800334	1115.79867946357	1137.36799740904
ENSMUSG00000001964.14	2048.03557309423	2219.64935274662	2173.42573491908
ENSMUSG00000001983.7	606.288609851739	592.690257386927	688.598733401268
ENSMUSG00000001985.9	1.867651456977	1.92675584832418	0
ENSMUSG00000001986.16	0	2.89789111179256	0
ENSMUSG00000001988.9	0	0	0
ENSMUSG00000001995.9	629.437725418913	506.476432233304	622.896668261887
ENSMUSG00000001998.15	1292.01240319132	1356.00137645346	1295.99014716879
ENSMUSG00000001999.15	7114.05388411635	6033.5710151563	5831.74305688272
ENSMUSG00000002006.12	0	1.95995276579057	1.09567732268515
ENSMUSG00000002007.5	0	0	0
ENSMUSG00000002010.17	4257.7185026802	4329.84591442252	3686.83025915552
ENSMUSG00000002012.13	0	0	0
ENSMUSG00000002014.12	5027.34815918742	4784.71131545051	5004.83748975562
ENSMUSG00000002015.5	4829.46403110379	4437.10568269461	4713.2349931558
ENSMUSG00000002017.10	3029.29817062845	3184.46409994109	3188.54824078971
ENSMUSG00000002020.15	14.1035090625001	12.3130226128791	5.6145215965069
ENSMUSG00000002028.13	2051.79844493699	2508.37192273237	2672.6098605209
ENSMUSG00000002031.13	766.957896631517	640.420698163543	801.015605393258
ENSMUSG00000002032.17	5.30451165820608	8.8730989947779	9.17831612251671
ENSMUSG00000002033.14	0	0.965963703930853	0
ENSMUSG00000002043.17	758.553875749109	721.938504341909	578.296684661506
ENSMUSG00000002052.6	11133.7996607074	11667.5802636696	11627.6620713574
ENSMUSG00000002055.9	1903.0568861589	2005.06624207396	1599.50544030347
ENSMUSG00000002057.4	0	0	0
ENSMUSG00000002058.13	268.130050819609	359.387414684998	369.233443693837
ENSMUSG00000002059.18	1063.46399400058	943.005220921095	809.33498481951
ENSMUSG00000002064.10	1692.7312470164	1504.57447883065	1609.50485139619
ENSMUSG00000002068.16	435.089626657795	575.632864027837	600.442868527892
ENSMUSG00000002076.12	11.0289270208384	13.6722435102164	5.17275078048368
ENSMUSG00000002083.13	480.716938523801	507.726067019252	532.080488657078
ENSMUSG00000002100.15	121.686000173492	112.622955523033	89.4704472153385
ENSMUSG00000002102.15	7000.4513644462	7661.16842243479	8938.73943212498
ENSMUSG00000002103.16	2597.02030111938	2403.90290278125	2384.5437346686
ENSMUSG00000002104.11	0	0	1.11157168238926
ENSMUSG00000002105.15	1142.59876336002	990.978487597836	1243.6058545273
ENSMUSG00000002107.18	3742.33063014656	4810.13420649126	4470.92477844944
ENSMUSG00000002108.10	452.594846541051	624.700042216381	443.361444059308
ENSMUSG00000002109.14	111.084451062292	115.452580427649	109.313097347568
ENSMUSG00000002111.8	14209.7910435372	12232.3670056188	12635.1650556342
ENSMUSG00000002129.11	5277.9503923339	5525.38422467983	7786.72260492585
ENSMUSG00000002147.18	8439.73666007365	8100.32027219362	8871.3953053558
ENSMUSG00000002190.13	21.5347529187293	21.1675169590679	26.6410875010719
ENSMUSG00000002204.9	1320.65737025066	1984.31279594117	1387.86621883846
ENSMUSG00000002205.16	1312.99759954788	1228.75591421971	1246.92474894773
ENSMUSG00000002210.11	1527.82282228151	1193.59937282501	1033.63411070029
ENSMUSG00000002221.11	1210.10041036554	1432.82781338958	1112.00413944325
ENSMUSG00000002222.14	638.260377268038	544.508830725466	709.031012650357
ENSMUSG00000002227.15	11926.0724171403	10042.8866845669	12395.8342880922
ENSMUSG00000002228.7	245.910094402403	189.118587362561	250.584515609388
ENSMUSG00000002233.13	12537.5499097946	11249.7631243366	12966.3382992291
ENSMUSG00000002240.12	0	0	0
ENSMUSG00000002249.21	0	2.89789111179256	0
ENSMUSG00000002250.16	1008.68690991169	1307.53367672819	1040.36969427198
ENSMUSG00000002257.8	465.170414766362	1260.2783843108	955.203606430632
ENSMUSG00000002265.17	0	0	0
ENSMUSG00000002266.17	0	0	3.33471504716779
ENSMUSG00000002274.13	337.404691606041	252.994219443116	254.280807203716
ENSMUSG00000002279.19	571.075563908996	461.969076940621	520.391515842461
ENSMUSG00000002280.11	1330.96627386335	1457.7699503005	1486.94769775471
ENSMUSG00000002289.16	17.8536524449413	15.2039101414866	9.28363742152265
ENSMUSG00000002297.16	2067.97832811866	2381.36517604997	2156.6827347435
ENSMUSG00000002307.16	33202.4944100625	23068.6411906379	27746.0067423724
ENSMUSG00000002308.16	458.998132316143	487.621504994833	396.028529566926
ENSMUSG00000002319.16	6233.1338807712	5407.2468719166	5585.52240670654
ENSMUSG00000002320.15	3146.47418211563	3116.80282509167	2887.85444263807
ENSMUSG00000002324.8	0	0.961756070036749	1.11643475196819
